title,rating,description,release_date,genre,casts,duration,country,production,m_link
Conjuring The Beyond,2.2,A sleep study goes awry when participants start to go missing.,2022-09-13,Horror,"['Steve Larkin', 'Stephanie Leet', 'Daniel Donlon', 'Jon Meggison', 'Chynna Rae Shurts']",91,United States of America,"['7th Street Productions', 'Raptor FX Studio']",https://cineb.net/movie/watch-conjuring-the-beyond-free-88039
The Atomic Cafe,7.6,A disturbing collection of 1940s and 1950s United States government-issued propaganda films designed to reassure Americans that the atomic bomb was not a threat to their safety.,1982-03-17,History,"['Paul Tibbets', 'Harry S. Truman', 'W.H.P. Blandy', 'Brien McMahon', 'Lloyd Bentsen']",86,United States of America,['The Archives Project'],https://cineb.net/movie/watch-the-atomic-cafe-free-88036
Sixty Glorious Years,6.3,Continuing the story of 'Victoria the Great'.,1938-11-18,History,"['Walter Rilla', 'C. Aubrey Smith', 'Anna Neagle', 'Henry Hallett', 'Derrick De Marney']",95,United Kingdom,['Herbert Wilcox Productions'],https://cineb.net/movie/watch-sixty-glorious-years-free-88033
Scared to Death,4.2,"A series of hideous murders is taking place, and Inspector Capell and cop-turned-novelist Lonergan are investigating. The murders are found to be the work of an out-of-control experiment in genetic engineering. The two men must descend into the city's sewer systems to destroy the horrific miscreation. It won't be hard to find, as it's already looking for its next victims...",1980-03-01,Horror,"['Walker Edmiston', 'John Stinson', 'Mike Muscat', 'Jonathan David Moses', 'Toni Jannotta']",93,United States of America,['Malone Productions Ltd.'],https://cineb.net/movie/watch-scared-to-death-free-88030
"Paris, 13th District",7,"Émilie meets Camille who is attracted to Nora, who crosses paths with Amber. Three girls and a boy – They’re friends, sometimes lovers and often both.",2021-11-03,Drama,"['Geneviève Doang', 'Noémie Merlant', 'Camille Léon-Fucien', 'Camille Berthomier', 'Makita Samba']",106,France,"['France Télévisions', 'Page 114', 'Ciné+', 'France 2 Cinéma', 'Cofinova 17', 'Centre National de la Cinématographie', 'Canal+']",https://cineb.net/movie/watch-paris-13th-district-free-88027
Murphy's War,6.8,"Murphy is the sole survivor of his crew, that has been massacred by a German U-Boat in the closing days of World War II. He is rescued, and ends up at a forgotten mission station near the mouth of the Orinoco, and begins to plot his vengeance. He wishes to sink the U-Boat by means of any method imaginable to him, and sets about to make the courageous attempt, assisted by Louis, the administrator of the local oil company.",1971-01-27,War,"['John Hallam', ""Peter O'Toole"", 'Philippe Noiret', 'Siân Phillips', 'Horst Janson']",107,United Kingdom,"['Hemdale', 'Paramount', 'Michael Deeley-Peter Yates Films']",https://cineb.to/movie/watch-murphys-war-free-88021
Metal Skin Panic MADOX-01,5.8,"Ace female test pilot Kusomoto Elle humiliates macho tank driver Lt. Kilgore in the first demonstration of the advanced personal battle tank, the MADOX. Kilgore vows revenge, and gets his chance when the army rather carelessly loses the prototype in Tokyo.  The MADOX is found by engineering student Sujimoto Kouji, who doesn't take the time to completely read the manual and ends up zooming around Tokyo trapped in a machine he doesn't quite know how to operate.  Guess who gets the job of stopping the now mobile missing MADOX? Poor Kouji. If he's late for his date, it's over between him and his girlfriend. His current attire redefines the term ""over-dressed.""  And to top it all off, Kilgore wants to make him late- as in ""the late Kouji!""",1987-12-16,Action,"['Kazuyuki Sogabe', 'Kazuo Oka', 'Yasunori Matsumoto', 'Yôko Asagami', 'Arihiro Hase']",41,Japan,['Studio ARTMIC'],https://cineb.net/movie/watch-metal-skin-panic-madox-01-free-88018
Mayerling,6.1,"Crown Prince Rudolf of Austria clashes with his father, Emperor Franz Joseph I of Austria, over implementing progressive policies for their country. Rudolf soon feels he is a man born at the wrong time in a country that doesn't realize the need for social reform. The Prince of Wales, later to become Britain's King Edward VII, provides comic relief. Rudolf finds refuge from a loveless marriage with Princess Stéphanie by taking a mistress, Baroness Maria Vetsera. Their untimely demise at Mayerling, the imperial family's hunting lodge, is cloaked in mystery.",1968-01-01,History,"['Omar Sharif', 'Catherine Deneuve', 'James Robertson Justice', 'James Mason', 'Ava Gardner']",140,France,"['Les Films Corona', 'Alexandra Film', 'Winchester Productions']",https://cineb.net/movie/watch-mayerling-free-88015
Love & Human Remains,6.6,"In a Canadian metropolis, failed actor David shares a place with the bookish Candy, whom he dated before coming out as gay. While David, who now waits tables, pursues an aimless romance with a younger coworker, Candy dabbles in both same-sex and heterosexual affairs. As David and Candy's odd assortment of friends — including a telepathic sex worker and an ill-tempered yuppie — pass in and out of their beds, a serial murder stalks the city's women.",1994-07-22,Comedy,"['Mia Kirshner', 'Thomas Gibson', 'Joanne Vannicola', 'Cameron Bancroft', 'Rick Roberts']",100,Canada,"['The Ontario Film Development Corporation', 'Max Films', 'First Choice Films', 'Super Écran', 'Téléfilm Canada', 'Atlantis Films', 'Société Générale des Industries Culturelles du Québec (SOGIC)']",https://cineb.net/movie/watch-love-human-remains-free-88012
The Wannabes,6.2,"Daniel and Stéphane, two salesmen working in the same store but who cannot stand each other, decide despite everything to team up to participate in television games so they can pay their debts.",2022-02-09,Comedy,"['Gaëlle Lebert', 'Grégoire Ludig', 'Julien Pestel', 'David Marsais', 'Juliette Plumecocq-Mech']",102,France,['Gaumont'],https://cineb.net/movie/watch-the-wannabes-free-88009
The Infernal Trio,6.3,"Marseilles, 1919. Georges Sarret is a distinguished and respected lawyer, recently honoured for his services in the First World War. He takes as his lover Philomène Schmidt, a young German woman, who has just lost her job and home. To enable Philomène to remain in France, Georges finds her a husband – who dies conveniently of natural causes a month after the wedding. Georges repeats the trick with Philomène's sister, Catherine – marrying her off to an old man who dies suddenly so that the scheming trio can profit from his life insurance. When an accomplice in the scheme, Marcel Chambon, threatens to blackmail them, Georges and his two lovers have no option but to kill him and his mistress...",1974-05-22,Comedy,"['Romy Schneider', 'Michel Piccoli', 'Philippe Brizard', 'Andréa Ferréol', 'Monique Tarbès']",107,Italy,"['Belstar Productions', 'Lira Films', 'Oceania Produzioni Internazionali Cinematografiche', 'Films 66', 'TIT Filmproduktion']",https://cineb.net/movie/watch-the-infernal-trio-free-88006
Karski & The Lords of Humanity,7.5,Karski & The Lords of Humanity is a feature-length partially animated documentary project. The film tells the story of a member of the Polish underground who acted as a courier during World War II and whose most prominent mission was to inform the Allied powers of Nazi crimes against the Jews of Europe in an effort to prevent the Holocaust.,2015-04-24,Documentary,['Jan Karski'],72,Poland,"['Apple Film Productions', 'LogTV']",https://cineb.net/movie/watch-karski-the-lords-of-humanity-free-88003
York Witches Society,3.9,"After initiation into The York Witches Society, Amber Gray and her new friends unwittingly awaken an ancient evil hellbent on destroying the Gray bloodline. As the witch hunt begins, the young women realize they may not make it through the night.",2022-08-26,Horror,"['Sophie Bloor', 'Georgia Lock', 'Rachel Warren', 'Louise Bangay', 'Tina Louise Owens']",88,United Kingdom,['Highfield Grange Studios'],https://cineb.net/movie/watch-york-witches-society-free-88000
Fortune Favors Lady Nikuko,6.8,"Nikuko is a brash, jolly, scattered, and passionate woman in an otherwise sleepy seaside town in northern Japan. She’s also the single mother of 11-year-old Kikuko, who is her opposite in many ways. Kikuko is a string-bean of a young girl, pensive, quietly curious, and methodical in how she approaches life in this small harbor town.  Nikuko embarrasses Kikuko as any mom of a preteen would, but Nikuko’s bold spirit makes her especially well-known in a town where Kikuko herself wants nothing more than to simply blend in. As Kikuko navigates the everyday social dramas of middle school, enhanced with touches of magical realism from her ever-present imagination, a shocking revelation from the past threatens to uproot the pair’s tender relationship.",2021-06-11,Drama,"['Ikuji Nakamura', 'Shinobu Ōtake', 'Natsuki Hanae', 'Riho Yoshioka', 'Hiro Shimono']",97,Japan,"['Yoshimoto Kogyo Company', 'Studio 4°C', 'Asmik Ace']",https://cineb.net/movie/watch-fortune-favors-lady-nikuko-free-87994
Gladbeck: The Hostage Crisis,7.5,"In August 1988, two armed bank robbers keep German police at bay for 54 hours during a hostage-taking drama that ends in a shootout and three deaths.",2022-06-08,Documentary,"['Hans-Jürgen Rösner', 'Marion Löblich', 'Dieter Degowski', 'Ines Falk', 'Peter Meyer']",91,Germany,['Film Five'],https://cineb.net/movie/watch-gladbeck-the-hostage-crisis-free-87991
The Trip 6,3.2,"The last year High School excursion is the walk where anything can happen, but the last year High School excursion with the parents, that is the last straw. And since Álvaro Castaño knows that security is better than the police, he decides to travel with his family to watch over his daughter Sarita, however, his mother-in-law, Raquel, is not willing to allow it and also embarks in the plan . On the paradisiacal beaches of San Andrés, Álvaro Castaño will become Sara's nightmare and the sensation for the excursion, while his sexy mother-in-law of him will be the one to steal the show. El Paseo 6, the last yeat High School excursion, because the luck of the grandmother, the High School girls wish it.",2021-12-25,Comedy,"['Cecilia Navia', 'Amparo Grisales', 'Jhon Álex Toro', 'Michell Orozco', 'Andrés de la Mora']",97,Colombia,"['Caracol Televisión', 'Dago García Producciones']",https://cineb.net/movie/watch-the-trip-6-free-87988
Pompo the Cinephile,7.2,"Operating out of the movie capital ""Nyallywood,"" Pompo has been shooting one B-grade entertainment flick after another that anyone would enjoy. One day, Pompo's ""movie buff"" assistant Gene spots a new script written by Pompo and is moved by its exquisite story. In a fit of passion, he proclaims, ""I want to see this as a finished work in theaters as soon as possible!""  However, Pompo tells him, ""So you shoot this film."" Thus, Gene takes on his first directing gig. Meanwhile, Natalie, an ordinary girl who just arrived in town with movie actress dreams, has been discovered by Pompo...",2021-06-04,Drama,"['Kohara Konomi', 'Rinka Otani', 'Akio Otsuka', 'Hiroya Shimizu', 'Ryuuichi Kijima']",94,Japan,"['Shochiku Co., Ltd.', 'Kadokawa Pictures', 'Avex Pictures', 'Movic', 'Studio Mausu', 'Movie Walker', 'Happinet Phantom Studios', 'CLAP']",https://cineb.to/movie/watch-pompo-the-cinephile-free-87985
Dead Man's Bluff,7.2,Sergei and Simon have to deliver a suitcase full of heroin to Mikhalych or else they will be killed. There is one minor detail: the only problem-solving technique they are familiar with is a shot in the head.,2005-05-26,Crime,"['Nikita Mikhalkov', 'Sergei Makovetsky', 'Viktor Sukhorukov', 'Kirill Pirogov', 'Grigorij Sijatvinda']",111,Russia,['CTB Film Company'],https://cineb.net/movie/watch-dead-mans-bluff-free-87982
Cube,4.5,Six complete strangers with widely varying personalities are involuntarily placed in an endless maze of interlocking cube-shaped rooms containing deadly traps.,2021-10-22,Thriller,"['Masaki Suda', 'Anne Watanabe', 'Tokio Emoto', 'Kotaro Yoshida', 'Masaki Okada']",108,Japan,"['Shochiku Co., Ltd.']",https://cineb.net/movie/watch-cube-free-87979
Broken Molds,N/A,The origins of windsurfing and the future of water sports.,2021-08-20,Documentary,"['Gerry Lopez', 'Laird Hamilton', 'Hoyle Schweitzer']",71,United States of America,[],https://cineb.net/movie/watch-broken-molds-free-87970
BTS: Permission to Dance on Stage - LA,8.8,"Purple colors the city of Los Angeles, as BTS brings their ""Permission to Dance"" concert to SoFi Stadium for the first time in two years. In a stadium radiating anticipation and cheer, splendid performances from ""On"" to ""Permission to Dance"" glorify the stage that now comes to life on screen. Be united once again by the power of music.",2022-09-08,Music,"['Min Yoon-gi', 'Kim Tae-hyung', 'Kim Nam-joon', 'Jeon Jung-kook', 'Kim Seok-jin']",130,South Korea,"['Den of Thieves', 'HYBE']",https://cineb.net/movie/watch-bts-permission-to-dance-on-stage-la-free-87967
No Limit,5.8,Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean's descent.,2022-09-09,Drama,"['César Domboy', 'Sofiane Zermani', 'Camille Rowe', 'Zacharie Chasseriaud', 'Hassam Ghancy']",119,Belgium,['Nolita Cinema'],https://cineb.net/movie/watch-no-limit-free-87964
Game Changer,5.9,"Fun for the whole family, hilarity ensues as the best athlete in pro football has to learn how to teach a motley group of kids how to win on the baseball field while they teach him how to win in life.",2022-06-01,Family,"['Corbin Bernsen', 'Ashley Bratcher', 'Brody Rose', 'Cocoa Brown', 'Robert Amaya']",104,United States of America,['Rock This World Productions'],https://cineb.net/movie/watch-game-changer-free-87961
It Was Always Me: Behind the Story,7.9,"Karol Sevilla and Pipe Bueno talk about their on-screen chemistry and the challenge Pipe faced when taking on a lead role. Christian Tappan talks about how he took on the challenge of representing his character. Exclusive off-screen material, videos recorded by the actors themselves on their phones, and records of castings and rehearsals will be unveiled.",2022-09-02,TV Movie,"['Karol Sevilla', 'Christian Tappán', 'Pipe Bueno']",31,Colombia,"['The Mediapro Studio', 'fox telecolombia']",https://cineb.net/movie/watch-it-was-always-me-behind-the-story-free-87958
Both Sides of the Blade,6.3,"Jean and Sara have been living together for 10 years. When they first met, Sara was living with François, Jean’s best friend and an admirer from back when he played pro rugby. Jean and Sara love each other. One day, Sara sees François in the street. He does not notice her, but she is overtaken by the sensation that her life could suddenly change. François gets back in touch with Jean. For the first time in years. He suggests they start working together again. From here on, things spiral out of control.",2022-07-08,Romance,"['Juliette Binoche', 'Vincent Lindon', 'Grégoire Colin', 'Bulle Ogier', 'Bruno Podalydès']",117,France,"['Wild Bunch', 'Anton', 'Canal+', 'Cofinova 17', 'Curiosa Films', 'Cinémage 15', 'Ciné+']",https://cineb.net/movie/watch-both-sides-of-the-blade-free-87955
Love's Portrait,7,"Lily is a museum curator who finds a painting that looks just like her. Lily’s search for the artist leads her to Ireland, where she meets William, a charming man who helps her on her quest and may also know more about the portrait’s origins than he’s letting on.",2022-09-04,Drama,"['Tamari Dunbar', 'Aubrey Reynolds', 'Jessi Melton', 'Richard McWilliams', 'Jazmine Shaw']",84,United States of America,"['Silver Peak Productions', 'Candlelight Media Group']",https://cineb.net/movie/watch-loves-portrait-free-87952
Love's Portrait,7,"Lily is a museum curator who finds a painting that looks just like her. Lily’s search for the artist leads her to Ireland, where she meets William, a charming man who helps her on her quest and may also know more about the portrait’s origins than he’s letting on.",2022-09-04,Drama,"['Tamari Dunbar', 'Aubrey Reynolds', 'Jessi Melton', 'Richard McWilliams', 'Jazmine Shaw']",84,United States of America,"['Silver Peak Productions', 'Candlelight Media Group']",https://cineb.net/movie/watch-loves-portrait-free-87952
Marry Me in Yosemite,5.8,"Zoe is a top photojournalist who has published successful coffee table books featuring her images of iconic places. Her publisher wants her next subject to be Yosemite, so she heads west despite not being sure she can do justice to the majesty of the landscape. While there, she meets Jack, an intriguing tour guide who opens her eyes to new possibilities as they take a journey together.",2022-09-03,TV Movie,"['Tim Halpin', 'Cindy Busby', 'Tyler Harlow', 'Harry Daniels', 'Lexsy McKowen']",84,United States of America,"['Johnson Production Group', 'Shadowboxer LLC']",https://cineb.net/movie/watch-marry-me-in-yosemite-free-87949
Ticket to Paradise,6.4,A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,2022-09-08,Comedy,"['George Clooney', 'Kaitlyn Dever', 'Maxime Bouttier', 'Julia Roberts', 'Billie Lourd']",104,Australia,"['Smoke House Pictures', 'Fin Design & Effects', 'Working Title Films', 'Red Om Films']",https://cineb.net/movie/watch-ticket-to-paradise-free-87946
The Other Tom,6.4,"Elena is a single mother dependant on Social Services. Her son Tom has behaviour issues and is stigmatised at school as a ""problem child"". An absent father further complicates their difficult relationship. Tom is diagnosed with Attention Deficit Hyperactivity Disorder and given psychiatric medication, but a strange accident alerts his mother as to their side effects. When she refuses to continue administering the drugs to him, Social Services threaten to take Tom from her.",2021-12-31,Drama,"['Israel Rodríguez Bertorelli', 'Julia Chávez']",111,United States of America,"['Buenaventura Cine', 'BHD Films']",https://cineb.net/movie/watch-the-other-tom-free-87943
Peace River,6.2,"Two young kids growing up in the rodeo cowboy life form a foundation with each other and family. He becomes a Champion Rodeo cowboy and special forces soldier but is crushed by war and personal loss. She must watch him struggle. He must draw on faith and the ""cowboy way"" to reclaim his will to live and the love of his life.",2022-03-03,Drama,"['Margaret Jones', 'Cazzey Louis Cereghino', 'Benjamin M. Jones', 'Chase Garland', 'Jessica Nunez-Wood']",135,United States of America,"['FaithWorks Pictures', 'Atlas Distribution Company']",https://cineb.to/movie/watch-peace-river-free-87940
Kingslayer,4.1,"With just a few days to his coronation, Richard the Lionheart faces an unexpected ordeal. What should have been a secret encounter with the woman he loves becomes a battle of life and death as mercenaries interrupt their encounter.",2022-02-11,Action,"['Ryan Gage', 'David Hayman', 'Carolina Carlsson', 'John Wolfe', 'Stuart Brennan']",93,United Kingdom,['Stronghold'],https://cineb.net/movie/watch-kingslayer-free-87937
Consequences,3.8,"Movanni has sworn off love due to a traumatic past, but that all changes when she meets Donovan.",2020-11-18,Drama,"['Troy D. Williams', 'Terri Mitchell', 'Eugenia Drake', 'Jeannie West', 'Brice Batemon']",101,United States of America,[],https://cineb.net/movie/watch-consequences-free-87934
Ailey,6.7,"Alvin Ailey was a visionary artist who found salvation through dance. Told in his own words and through the creation of a dance inspired by his life, this immersive portrait follows a man who, when confronted by a world that refused to embrace him, determined to build one that would.",2021-07-23,Documentary,"['Hope Clarke', 'Bill T. Jones', 'Robert Battle', 'Don Martin', 'Mary Barnett']",94,United States of America,"['American Masters Pictures', 'XTR', 'Insignia Films', 'Impact Partners', 'Black Public Media (BPM)', 'Independent Television Service (ITVS)']",https://cineb.net/movie/watch-ailey-free-87931
Just Add Love,5.3,"April, an uptight health-chef guru is on the verge of notoriety, but her brand of cooking is failing. Despite her assurances healthy is tasty, those who have tried her recipes disagree. Unwilling to give up on her hard work and career, April vows to reinvent herself and travels to Italy to learn how to incorporate the country’s notoriously rich culture of food into her own recipes. There, she meets Rob, a brilliant chef specializing in Italian cuisine, who helps April find a new joy and freedom in life and in cooking.",2022-08-20,TV Movie,"['Laura Mitchell', 'Brad Johnson', 'Ischa Bee', 'Scott Christopher', 'Danny Shepherd']",90,United States of America,"['Candlelight Media Group', 'Silver Peak Productions']",https://cineb.net/movie/watch-just-add-love-free-87928
Wolves of War,3.7,"Decorated British officer Jack Wallace must lead a band of Allied commandos across enemy lines to rescue Professor Hopper, an American scientist held hostage by the Nazis. With information that could turn the tide of war, these unlikely heroes must traverse enemy territory with an untrained US civilian, avoiding brutal Nazi mercenaries and non-stop bombing – with the fate of the war resting on their shoulders, the outcome of this mission will change the world forever; failure is not an option.",2022-09-12,War,"['Sam Gittins', 'Ed Westwick', 'Éva Magyar', 'Rupert Graves', 'Anastasia Martin']",87,United Kingdom,['Picture Perfect'],https://cineb.net/movie/watch-wolves-of-war-free-87919
The Road Dance,7,"A young girl lives in the Outer Hebrides in a small village in the years just before WWI. Isolated and hard by the shore, her life takes a dramatic change when a terrible tragedy befalls her.",2022-05-20,Drama,"['Morven Christie', 'Hermione Corfield', 'Mark Gatiss', 'Will Fletcher', 'Jeff Stewart']",116,United Kingdom,"['Sheridan Road Productions', 'Uinta Productions']",https://cineb.net/movie/watch-the-road-dance-free-87916
The Hoot Owl,3.2,A group of friends fight for survival when they disturb the deranged inhabitants of what was thought to be abandoned estate deep in the woods of East Texas.,2022-07-19,Horror,"['Jason Skeen', 'J.D. Brown', 'Augustine Frizzell', 'Katharine Franco']",71,United States of America,"['Rise Above Productions', 'Vanishing Twin Pictures']",https://cineb.net/movie/watch-the-hoot-owl-free-87913
Pot Luck,2.9,The war on drugs has failed: is legalization of cannabis the answer? Pot Luck takes a trip across pioneering state Colorado five years after full legalization to see how it's all playing out and what this blazed new world looks like.,2020-04-14,Documentary,"['George Brauchler', 'Robin Quivers']",77,United States of America,[],https://cineb.net/movie/watch-pot-luck-free-87910
Out of Office,5,A young woman discovers that keeping her job is related to helping her boss maintain his rapidly failing marriage.,2022-09-05,TV Movie,"['Jason Alexander', 'Oscar Nunez', 'Ken Jeong', 'Milana Vayntrub', 'Monte Markham']",86,United States of America,"['MTV Studios', 'CBS Television Studios', 'Propagate Content']",https://cineb.net/movie/watch-out-of-office-free-87907
Marry Go Round,6.2,"Abby Foster and Luke Walker were high school sweethearts who were married for a brief time. Many years later, Abby’s life seems perfect as she gets ready for a new life in Paris along with her soon-to-be husband, Edward. When an unexpected letter arrives throwing Abby off course, she must decide what her heart really wants.",2022-09-10,Romance,"['Amanda Schull', 'Brennan Elliott']",84,United States of America,['The Hallmark Channel'],https://cineb.net/movie/watch-marry-go-round-free-87904
In Love With My Partner's Wife,6.2,"When detective Paul Ford discovers his partner, Frank, is abusing his wife Eve, Paul steps in to rescue her, but a vengeful Frank frames him for a murder. With Paul on the run from his fellow officers and Eve on the run from her husband, the two find themselves escaping into a heated love affair.",2022-08-13,TV Movie,"['Gina Vitori', 'Jonathan Stoddard', 'Andrew Spach']",85,United States of America,"['Johnson Production Group', 'Lifetime']",https://cineb.to/movie/watch-in-love-with-my-partners-wife-free-87901
House of Chains,6.8,It follows a troubled married couple as they imprison their six children due to their intense religious ideology.,2022-09-11,Drama,"['Greyston Holt', 'Carina Battrick', 'Natalie Jane', 'Mena Suvari', 'Aias Dalman']",87,United States of America,['Lifetime'],https://cineb.net/movie/watch-house-of-chains-free-87898
Club Cumming Presents a Queer Comedy Extravaganza!,3.5,"Cumming hosts this cabaret-style gathering featuring seven up-and-coming queer comedians who represent not only the diversity of the queer spectrum, but also of comedy styling - from stand-up to characters to musical performances.",2022-09-02,Comedy,"['Alan Cumming', 'Joe Castle Baker', 'Drew Lausch', 'Nori Reed', 'Larry Owens']",75,United States of America,[],https://cineb.to/movie/watch-club-cumming-presents-a-queer-comedy-extravaganza-free-87895
The Reconciliation,5.3,"The beginning of 1945, Poland. In a newly liberated country, the Communist Security Service is annihilating its enemies under the guise of punishing ""national traitors."" They organize a labor camp for Germans, Silesians and Poles, on the site of a former Nazi concentration camp called Zgoda / Reconciliation. Franek, who is in love with the Polish prisoner Anna, goes to work as a warder in the camp to save her. He does not know that one of the prisoners - Erwin, his German friend, also loved this girl for a long time. Franek joins the communists in the illusory hope of outsmarting the system.",2017-10-13,Drama,"['Zofia Wichłacz', 'Jakub Gierszał', 'Danuta Stenka', 'Maria Dębska', 'Wojciech Zieliński']",87,Poland,"['Polski Instytut Sztuki Filmowej', 'EBH Polska']",https://cineb.net/movie/watch-the-reconciliation-free-87871
One More Shot,5.2,"After his wife's death professional bodyguard Lung Wei went overseas to find doctors for his daughter, but instead found a new job as a virtual reality tester.",2021-09-17,Science Fiction,"['Fan Siu-Wong', 'Zhipeng Wang', 'Jiang Yiyi', 'Song Ziqiao', 'Diego Dati']",82,China,['Beijing Black Rock Planet Culture Media'],https://cineb.net/movie/watch-one-more-shot-free-87868
U2: iNNOCENCE + eXPERIENCE Live in Paris,8.3,"1. The Miracle (Of Joey Ramone) 2. Vertigo 3. I Will Follow 4. Iris (Hold Me Close) 5. Cedarwood Road 6. Song For Someone 7. Sunday Bloody Sunday 8. Raised By Wolves 9. Until The End Of The World 10. The Fly 11. Invisible 12. Even Better Than The Real Thing 13. Mysterious Ways 14. Elevation 15. Every Breaking Wave 16. October 17. Bullet The Blue Sky 18. Zooropa 19. Where The Streets Have No Name 20. Pride (In The Name Of Love) 21. With Or Without You 22. Stephen Hawking 'Global Citizen' 23. City Of Blinding Lights 24. Beautiful Day 25. Mother And Child Reunion 26. Bad 27. One 28. People Have The Power 29. I Love You All The Time  This special shows U2 playing the Bercy Arena in Paris, showcasing the inventive set that allows the band to explore the concepts of iNNOCENCE + eXPERIENCE via a performance that literally moves throughout the venue via multiple stages, a one-of-a-kind interactive floor-to-ceiling arena-length LED screen, and a radical new approach to surround sound.",2015-12-07,Documentary,"['Adam Clayton', ' Larry Mullen Jr.', 'The Edge', 'Bono']",242,United States of America,['Done and Dusted Productions'],https://cineb.net/movie/watch-u2-innocence-experience-live-in-paris-free-87865
Treasure City,6.7,"Dropped into a web of family, sexual, political and romantic relationships where nothing is quite what it seems. One event leads to something else, people appear in one situation and reappear in another and by the end the lives of 22 people intersect in unpredictable ways during a 90-minute period on one magical night in the city they share.",2020-04-23,Drama,"['László Katona', 'Szabolcs Hajdu', 'Lilla Sárosdi', 'Árpád Schilling', 'Orsi Tóth']",92,Hungary,"['Bord Cadre Films', 'Asociatia Filmtett']",https://cineb.net/movie/watch-treasure-city-free-87862
There Is No Evil,7.5,"Every country that enforces the death penalty needs people to kill other people. Four men are put in front of an unthinkable but simple choice. Whatever they decide, it will directly or indirectly corrode them selves, their relationships, and their entire lives.",2020-09-11,Drama,"['Shaghayegh Shourian', 'Mahtab Servati', 'Kaveh Ahangar', 'Baran Rasoulof', 'Darya Moghbeli']",151,Germany,"['Europe Media Nest', 'Cosmopol-Film GmbH', 'Filminiran']",https://cineb.net/movie/watch-there-is-no-evil-free-87859
"The Weapon, the Hour, the Motive",6.1,"Don Giorgio, a handsome young priest and teacher in a convent, is involved with two lovers:  Orchidea and Giulia.  When he repents and vows to return to the Church, he is savagely beaten to death.  Not long after, Giulia has her throat slashed.  Inspector Boito falls in love with and prepared to marry Orchidea, who is also the main suspect.  The key to solving the case seems to lie with an inquisitive boy called Ferruccio, who is kept locked up and drugged.  He witnessed one of the murders, but will anyone believe his story?",1972-11-23,Thriller,"['Renzo Montagnani', 'Bedy Moratti', 'Gina Mascetti', 'Salvatore Puntillo', 'Adolfo Belletti']",105,Italy,['Julia Film'],https://cineb.net/movie/watch-the-weapon-the-hour-the-motive-free-87856
The Soldier,5.2,Terrorists take over a plutonium bomb and threaten to detonate it in a Saudi Arabian oil field. A special anti-terrorist unit is sent in to stop them.,1982-06-01,Action,"['Bob Andrews', 'Joaquim de Almeida', 'William Prince', 'Klaus Kinski', 'Ken Wahl']",88,United States of America,['Embassy Pictures'],https://cineb.net/movie/watch-the-soldier-free-87850
The Shootout,5.3,"The Shootout is an early-nineties action comedy that brings together many stars of past and present Hong Kong films. Popstar Aaron Kwok is Fai, a relatively young, inexperienced cop who accidentally nabs a member of a thievery gang. However, Fai loses his collar when the gang's vicious boss (Elvis Tsui) infiltrates Police HQ to take down his own comrade! Luckily, the cops bring in two ""expert"" policemen, Lau (Sean Lau Ching Wan) and Ma (Leung Ka Yan) to help nab the bad guys. Helping their investigation is Min (Fennie Yuen), the club singer to whom Fai is attracted AND the girlfriend to the head bad guy. With topnotch police work - and maybe a little luck - the cops regroup in time for a violent finish. Gritty violence and entertaining, over-the-top action highlight The Shootout, but it's the charismatic stars and quick-footed comedy which keep things amusing.",1992-06-27,Comedy,"['Leung Kar-Yan', 'Aaron Kwok', '徐錦江', 'Lau Ching-Wan', 'Kingdom Yuen']",95,Hong Kong,"['Golden Harvest Productions', 'Golden Way Films Ltd.']",https://cineb.net/movie/watch-the-shootout-free-87847
The Shadowed Mind,4.8,A patient at a private clinic for sufferers of sexual dysfunction begins a tentative affair with one of the other patients while a killer stalks the institution.,1988-01-01,Thriller,"['Rufus Swart', 'Adrienne Pearce', 'Towje Kleiner', 'Simon Poland', 'Evan J. Klisser']",95,South Africa,['David Hannay Productions'],https://cineb.net/movie/watch-the-shadowed-mind-free-87844
The Seventh Curse,6.5,"A young heroic cop in the jungle of Thailand attempts to rescue a beautiful girl from being sacrificed to the ""Worm Tribe"" she belongs to. As a result, the cop is damned with seven ""Blood Curses"" which burst through his leg periodically. When the seventh bursts, he will die, but Betsy, the beauty he saved stops the curse with an antidote that lasts only one year, so on the advice of Wisely (Chow yun Fat) he heads back to Thailand to find a permanent cure. Action ensues as the cop and cohorts battle the evil sorcerer of the Worm Tribe, a hideous bloodthirsty baby like creature and ""Old Ancestor,"" a skeleton with glowing blue eyes that transforms into a monster that is a cross between Rodan and Alien.",1986-10-17,Horror,"['Chin Siu-Ho', 'Chow Yun-Fat', '徐錦江', 'Sibelle Hu', 'Dick Wei']",78,Hong Kong,"['Paragon Films Ltd', 'Golden Harvest Company']",https://cineb.net/movie/watch-the-seventh-curse-free-87841
