Title,Address,Rent Price,Surface,Rooms,Interior Status,Agency,Contact,Link
Apartment Welnastraat,1096 GJ Amsterdam (Omval/Overamstel),"1,300 ",28 ,1 room,Furnished,HB Housing,+31206170379,https://www.pararius.com/apartment-for-rent/amsterdam/3daa7854/welnastraat
Apartment Bloemgracht,1015 TJ Amsterdam (Jordaan),"2,150 ",75 ,2 ,Furnished,Compass Housing Amsterdam,+31202440826,https://www.pararius.com/apartment-for-rent/amsterdam/c53ce22e/bloemgracht
Apartment Rupelmonde,1081 GS Amsterdam (Buitenveldert-West),"1,350 ",39 ,2 ,Undefined,Makelaardij Prins van Wijngaarden,/real-estate-agents/groningen/makelaardij-prins-van-wijngaarden-groningen,https://www.pararius.com/apartment-for-rent/amsterdam/1983d954/rupelmonde
Apartment Prins Hendrikkade,1011 AN Amsterdam (Nieuwmarkt/Lastage),"2,250 ",65 ,2 ,Furnished,Hausing,+31202117445,https://www.pararius.com/apartment-for-rent/amsterdam/15ec1196/prins-hendrikkade
Apartment Prins Hendrikkade,1011 AN Amsterdam (Nieuwmarkt/Lastage),"2,450 ",65 ,3 ,Furnished,Hausing,+31202117445,https://www.pararius.com/apartment-for-rent/amsterdam/aa33ffb0/prins-hendrikkade
Apartment Rooseveltlaan,1079 AD Amsterdam (Scheldebuurt),"2,600 ",111 ,4 ,Undefined,Makelaardij Prins van Wijngaarden,/real-estate-agents/groningen/makelaardij-prins-van-wijngaarden-groningen,https://www.pararius.com/apartment-for-rent/amsterdam/dda4bd02/rooseveltlaan
Apartment Parnassusweg,1076 AS Amsterdam (Stadionbuurt),"2,800 ",100 ,4 ,Upholstered,City Homes,+31206250071,https://www.pararius.com/apartment-for-rent/amsterdam/f7f4122a/parnassusweg
Apartment Paramaribostraat 104 hs,1058 VN Amsterdam (Westindische Buurt),"2,300 ",78 ,3 ,Furnished,Koops Makelaardij Amsterdam,+31208208772,https://www.pararius.com/apartment-for-rent/amsterdam/eaf42981/paramaribostraat
Apartment Hoofdweg,1058 BC Amsterdam (Westindische Buurt),"3,000 ",155 ,6 ,Upholstered,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/1c7e95c0/hoofdweg
Apartment Iepenweg,1091 JL Amsterdam (Oosterparkbuurt),"1,425 ",40 ,2 ,Furnished,Lemoo,/real-estate-agents/utrecht/lemoo,https://www.pararius.com/apartment-for-rent/amsterdam/394babf9/iepenweg
Apartment Corellistraat 3 3,1077 HA Amsterdam (Apollobuurt),"6,000 ",181 ,7 ,Upholstered,Peter Bruin Makelaardij,+31206768022,https://www.pararius.com/apartment-for-rent/amsterdam/1a2bb77b/corellistraat
Apartment Lindenhoevestraat,1096 DV Amsterdam (Omval/Overamstel),"2,750 ",121 ,4 ,Furnished,Homecrew,/real-estate-agents/amsterdam/homecrew,https://www.pararius.com/apartment-for-rent/amsterdam/c067ab7c/lindenhoevestraat
Apartment Rustenburgerstraat 133 III,1073 EX Amsterdam (Nieuwe Pijp),"1,850 ",46 ,3 ,Upholstered,Rent a Stone,+31854884787,https://www.pararius.com/apartment-for-rent/amsterdam/d51615cb/rustenburgerstraat
Apartment Prinsengracht,1017 JJ Amsterdam (Grachtengordel-Zuid),"2,500 ",72 ,2 ,Furnished,Amsterdam Property Renting,+31614947873,https://www.pararius.com/apartment-for-rent/amsterdam/91d92194/prinsengracht
Apartment Govert Flinckstraat 296 3,1073 CH Amsterdam (Oude Pijp),"2,250 ",84 ,2 ,Furnished,The Rental Agency Amsterdam,+31207799534,https://www.pararius.com/apartment-for-rent/amsterdam/efd11f02/govert-flinckstraat
Apartment Frans van Mierisstraat 69 II,1071 RL Amsterdam (Museumkwartier),"4,850 ",187 ,5 ,Upholstered,Expat Rentals,+31204700749,https://www.pararius.com/apartment-for-rent/amsterdam/17750dbc/frans-van-mierisstraat
Apartment Zacharias Jansestraat,1097 CL Amsterdam (Frankendael),"2,250 ",90 ,3 ,Upholstered,AHA (Another Home Abroad),/real-estate-agents/amsterdam/aha-another-home-abroad,https://www.pararius.com/apartment-for-rent/amsterdam/b327662b/zacharias-jansestraat
House Romerostraat,1069 NP Amsterdam (Middelveldsche Akerpolder),"2,500 ",112 ,6 ,Furnished,LV Housing,+31202101114,https://www.pararius.com/house-for-rent/amsterdam/081e61ab/romerostraat
Apartment Polanenstraat,1013 VP Amsterdam (Spaarndammer- en Zeeheldenbuurt),"1,575 ",33 ,2 ,Upholstered or furnished,Amstel Vastgoed,+31202233061,https://www.pararius.com/apartment-for-rent/amsterdam/daa8b4d5/polanenstraat
Apartment Mary van der Sluisstraat 510,1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep),"2,300 ",83 ,3 ,Furnished,EHR Amsterdam,+31202082107,https://www.pararius.com/apartment-for-rent/amsterdam/a6cac67c/mary-van-der-sluisstraat
Apartment Koninginneweg 143 bov,1075 CM Amsterdam (Willemspark),"3,650 ",138 ,5 ,Furnished,Amsterdam Beautiful Property Rental,/real-estate-agents/amsterdam/amsterdam-beautiful-property-rental,https://www.pararius.com/apartment-for-rent/amsterdam/ed919c45/koninginneweg
Apartment Ben van Meerendonkstraat,1087 LN Amsterdam (IJburg Zuid),"4,950 ",240 ,5 ,Furnished,Amsterdam Beautiful Property Rental,/real-estate-agents/amsterdam/amsterdam-beautiful-property-rental,https://www.pararius.com/apartment-for-rent/amsterdam/ad866930/ben-van-meerendonkstraat
House Dilsenstraat 16,1066 KC Amsterdam (Sloter-/Riekerpolder),"2,450 ",140 ,5 ,Upholstered,ViaDaan,/real-estate-agents/eindhoven/viadaan-nijmegen,https://www.pararius.com/house-for-rent/amsterdam/3a644625/dilsenstraat
Apartment Spinozastraat,1018 HJ Amsterdam (Weesperbuurt/Plantage),"2,995 ",140 ,5 ,Furnished,Hausing,+31202117445,https://www.pararius.com/apartment-for-rent/amsterdam/77753195/spinozastraat
Apartment Gillis van Ledenberchstraat,1052 TZ Amsterdam (Frederik Hendrikbuurt),"2,250 ",75 ,2 ,Furnished,Hausing,+31202117445,https://www.pararius.com/apartment-for-rent/amsterdam/a92d14c8/gillis-van-ledenberchstraat
Apartment Lijnbaansgracht,1016 XA Amsterdam (Jordaan),"2,700 ",95 ,3 ,Furnished,Klok Real Estate,+31206737056,https://www.pararius.com/apartment-for-rent/amsterdam/77047e95/lijnbaansgracht
House Solitudolaan,1096 DS Amsterdam (Omval/Overamstel),"3,975 ",156 ,3 ,Furnished,Klok Real Estate,+31206737056,https://www.pararius.com/house-for-rent/amsterdam/e12ac0b6/solitudolaan
Apartment Looiersgracht,1016 VS Amsterdam (Jordaan),"3,250 ",85 ,3 ,Upholstered,Ankersmit Makelaars Amsterdam,+31203202020,https://www.pararius.com/apartment-for-rent/amsterdam/7a50f6b0/looiersgracht
Apartment Badhuiskade 187,1031 KV Amsterdam (Noordelijke IJ-oevers West),"1,850 ",54 ,1 room,Upholstered,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/f28b005a/badhuiskade
Apartment Houtmankade 95 1,1013 MT Amsterdam (Haarlemmerbuurt),"1,500 ",55 ,2 ,Undefined,IB Makelaars,+31202142035,https://www.pararius.com/apartment-for-rent/amsterdam/c125220f/houtmankade
Apartment Lange Leidsedwarsstraat,1017 NM Amsterdam (De Weteringschans),"1,800 ",47 ,2 ,Furnished,Keizerskroon makelaars,+31204202222,https://www.pararius.com/apartment-for-rent/amsterdam/4160099f/lange-leidsedwarsstraat
Apartment Barbusselaan,"1102 TZ Amsterdam (Bijlmer Centrum (D,F,H))","1,375 ",45 ,2 ,Undefined,F.E. Real Estate,+31202101095,https://www.pararius.com/apartment-for-rent/amsterdam/f8d02352/barbusselaan
Apartment Bos en Lommerplein,1055 EK Amsterdam (Landlust),"2,850 ",97 ,4 ,Furnished,Huis Zelf Verhuren,+31683907197,https://www.pararius.com/apartment-for-rent/amsterdam/b89d2a77/bos-en-lommerplein
Apartment Keizersgracht 634 D,1017 ER Amsterdam (Grachtengordel-Zuid),"2,750 ",60 ,2 ,Furnished,Consilium BV,+31207512636,https://www.pararius.com/apartment-for-rent/amsterdam/e34e2f1e/keizersgracht
Apartment Zeeburgerdijk 78 I,1094 AG Amsterdam (Indische Buurt West),"1,750 ",45 ,2 ,Furnished,EHR Amsterdam,+31202082107,https://www.pararius.com/apartment-for-rent/amsterdam/91c38369/zeeburgerdijk
House Leidsegracht 55,1017 NB Amsterdam (Grachtengordel-Zuid),"5,100 ",190 ,7 ,Upholstered or furnished,Parker & Williams Real Estate Services,+31206750202,https://www.pararius.com/house-for-rent/amsterdam/a3df43fd/leidsegracht
Apartment Het Breed,1025 HW Amsterdam (Buikslotermeer),"1,925 ",62 ,2 ,Undefined,Evim Makelaars,+31202295401,https://www.pararius.com/apartment-for-rent/amsterdam/54ace6e1/het-breed
Apartment Surinameplein,1058 GH Amsterdam (Hoofddorppleinbuurt),"2,250 ",70 ,3 ,Furnished,Klok Real Estate,+31206737056,https://www.pararius.com/apartment-for-rent/amsterdam/28b26f0f/surinameplein
Apartment Bentinckstraat,1051 GD Amsterdam (Staatsliedenbuurt),"2,500 ",87 ,3 ,Furnished,Expats. Amsterdam Rentals,/real-estate-agents/amsterdam/expats-amsterdam-rentals-2,https://www.pararius.com/apartment-for-rent/amsterdam/51d97284/bentinckstraat
Apartment Hoofdweg,1058 BC Amsterdam (Westindische Buurt),"3,000 ",155 ,6 ,Upholstered,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/1c7e95c0/hoofdweg
Apartment Holbeinstraat 57 1,1077 VC Amsterdam (Apollobuurt),"2,750 ",113 ,3 ,Upholstered,Parker & Williams Real Estate Services,+31206750202,https://www.pararius.com/apartment-for-rent/amsterdam/2a79de36/holbeinstraat
Apartment Kromme-Mijdrechtstraat 73 II,1079 KS Amsterdam (Rijnbuurt),"1,950 ",50 ,3 ,Furnished,Van Huis Uit Makelaars,+31208903099,https://www.pararius.com/apartment-for-rent/amsterdam/828f43cd/kromme-mijdrechtstraat
Apartment Ruysdaelstraat,1071 WX Amsterdam (Museumkwartier),"2,350 ",70 ,4 ,Upholstered,BrinkBorgh Makelaardij,+31206709992,https://www.pararius.com/apartment-for-rent/amsterdam/5d6f87e6/ruysdaelstraat
Apartment Nicolaas Maesstraat,1071 RG Amsterdam (Museumkwartier),"3,150 ",98 ,3 ,Upholstered,Expathousing.com (Amsterdam),+31206622366,https://www.pararius.com/apartment-for-rent/amsterdam/f3ab5b12/nicolaas-maesstraat
Apartment Javakade 134 incl. P,1019 RW Amsterdam (Oostelijk Havengebied),"2,250 ",115 ,4 ,Upholstered or furnished,Isaak Makelaardij o.g. B.V.,+31206202022,https://www.pararius.com/apartment-for-rent/amsterdam/856cb0f1/javakade
Apartment Rozengracht,1016 SZ Amsterdam (Jordaan),"2,500 ",80 ,2 ,Furnished,Expats. Amsterdam Rentals,/real-estate-agents/amsterdam/expats-amsterdam-rentals-2,https://www.pararius.com/apartment-for-rent/amsterdam/5511834c/rozengracht
Apartment Wibautstraat,1091 GS Amsterdam (Weesperzijde),"2,450 ",105 ,3 ,Upholstered,BIC Makelaardij,+31207757904,https://www.pararius.com/apartment-for-rent/amsterdam/a0a3b6e0/wibautstraat
Apartment Haarlemmerdijk,1013 KC Amsterdam (Haarlemmerbuurt),"2,150 ",60 ,3 ,Upholstered,BrinkBorgh Makelaardij,+31206709992,https://www.pararius.com/apartment-for-rent/amsterdam/30f0e3d2/haarlemmerdijk
Apartment Van Oldenbarneveldtstraat,1052 KA Amsterdam (Frederik Hendrikbuurt),"2,200 ",72 ,2 ,Furnished,Expathousing.com (Amsterdam),+31206622366,https://www.pararius.com/apartment-for-rent/amsterdam/124577bb/van-oldenbarneveldtstraat
House Peter Martensstraat 14 2 pp,1087 NA Amsterdam (IJburg Zuid),"3,100 ",150 ,6 ,Upholstered,Voogd Makelaardij,+31205733357,https://www.pararius.com/house-for-rent/amsterdam/c903120b/peter-martensstraat
Apartment Ceintuurbaan 468,1074 EC Amsterdam (Nieuwe Pijp),"2,500 ",90 ,3 ,Upholstered,JLG Real Estate,+31203300031,https://www.pararius.com/apartment-for-rent/amsterdam/83ce3f7e/ceintuurbaan
Apartment Bronckhorststraat,1071 WL Amsterdam (Museumkwartier),"2,900 ",92 ,3 ,Upholstered,City Homes,+31206250071,https://www.pararius.com/apartment-for-rent/amsterdam/8ac3c723/bronckhorststraat
Apartment Claude Debussylaan 219 221,1082 MC Amsterdam (Zuidas),"2,800 ",194 ,4 ,Upholstered,Digimakelaars.nl - de makelaar van Nederland,+31880000400,https://www.pararius.com/apartment-for-rent/amsterdam/78b1add5/claude-debussylaan
Apartment Van de Veldestraat 7 bv,1071 CW Amsterdam (Museumkwartier),"4,750 ",190 ,6 ,Upholstered,Parker & Williams Real Estate Services,+31206750202,https://www.pararius.com/apartment-for-rent/amsterdam/964d3238/van-de-veldestraat
Apartment Willem de Zwijgerlaan 335 3,1055 RB Amsterdam (Landlust),"1,750 ",80 ,4 ,Furnished,HousingNet,+31207601500,https://www.pararius.com/apartment-for-rent/amsterdam/bb2a6764/willem-de-zwijgerlaan
House Bestevâerstraat 4 H,1056 HM Amsterdam (Geuzenbuurt),"3,500 ",150 ,5 ,Upholstered or furnished,Huureenhuis,+31858888282,https://www.pararius.com/house-for-rent/amsterdam/572f922d/bestevaerstraat
Apartment Scheepstimmermanstraat,1019 WZ Amsterdam (Oostelijk Havengebied),"1,850 ",80 ,2 ,Furnished,Expats. Amsterdam Rentals,/real-estate-agents/amsterdam/expats-amsterdam-rentals-2,https://www.pararius.com/apartment-for-rent/amsterdam/3cf254e4/scheepstimmermanstraat
Apartment Grensstraat,1091 SZ Amsterdam (Weesperzijde),"1,575 ",53 ,2 ,Upholstered,NederWoon verhuurmakelaars Amersfoort,+31334612477,https://www.pararius.com/apartment-for-rent/amsterdam/a474d323/grensstraat
Apartment Buitenzagerij 64,1021 NR Amsterdam (IJplein/Vogelbuurt),"1,600 ",60 ,2 ,Upholstered or furnished,ViaDaan,/real-estate-agents/eindhoven/viadaan-nijmegen,https://www.pararius.com/apartment-for-rent/amsterdam/58e8afe8/buitenzagerij
Apartment Kea Boumanstraat,1095 MA Amsterdam (Zeeburgereiland/Nieuwe Diep),"2,400 ",140 ,4 ,Upholstered or furnished,Vastgoed Unie Makelaardij,+31203081600,https://www.pararius.com/apartment-for-rent/amsterdam/d8651741/kea-boumanstraat
Apartment Boeninlaan,"1102 TP Amsterdam (Bijlmer Centrum (D,F,H))","1,300 ",44 ,2 ,Undefined,F.E. Real Estate,+31202101095,https://www.pararius.com/apartment-for-rent/amsterdam/b630a40d/boeninlaan
Apartment J.J. Cremerplein,1054 TL Amsterdam (Overtoomse Sluis),"3,150 ",96 ,3 ,Furnished,Hendriks Housing,+31202616266,https://www.pararius.com/apartment-for-rent/amsterdam/5ac59fcc/j-j-cremerplein
Apartment Marnixkade 56 III,1015 XV Amsterdam (Jordaan),"3,500 ",145 ,4 ,Upholstered,Makelaarshuis Amsterdam - Zaanstad,+31650566505,https://www.pararius.com/apartment-for-rent/amsterdam/3860a5ba/marnixkade
Apartment Vätternkade 67 2,1060 PK Amsterdam (Middelveldsche Akerpolder),"2,450 ",120 ,4 ,Undefined,Alcoco.nl,+31204638790,https://www.pararius.com/apartment-for-rent/amsterdam/cfb3f8a4/vaetternkade
Apartment Kromme-Mijdrechtstraat 65 H,1079 KR Amsterdam (Rijnbuurt),"2,350 ",78 ,3 ,Undefined,Linger OG,+31206236377,https://www.pararius.com/apartment-for-rent/amsterdam/cf56cd54/kromme-mijdrechtstraat
Apartment Zocherstraat,1054 LR Amsterdam (Overtoomse Sluis),"2,500 ",80 ,3 ,Upholstered,Housing Experts,+31618138902,https://www.pararius.com/apartment-for-rent/amsterdam/68ef2b1a/zocherstraat
Apartment Stadhouderskade 128 I,1074 AV Amsterdam (Oude Pijp),"2,350 ",75 ,3 ,Upholstered,MA Residences,+31203418648,https://www.pararius.com/apartment-for-rent/amsterdam/8b308d85/stadhouderskade
Apartment Prinsengracht 475 I,1016 HP Amsterdam (Grachtengordel-West),"2,750 ",80 ,2 ,Upholstered or furnished,Rent a Stone,+31854884787,https://www.pararius.com/apartment-for-rent/amsterdam/357b1a0f/prinsengracht
Apartment Vijzelgracht 33 3,1017 HN Amsterdam (De Weteringschans),"2,450 ",93 ,3 ,Undefined,Isaak Makelaardij o.g. B.V.,+31206202022,https://www.pararius.com/apartment-for-rent/amsterdam/bd1fe12d/vijzelgracht
Apartment Lodewijk Boisotstraat 21,1057 ZM Amsterdam (Chassébuurt),"2,350 ",85 ,3 ,Upholstered,Smit & Heinen Makelaars en Taxateurs,+31206727074,https://www.pararius.com/apartment-for-rent/amsterdam/42a0ce0d/lodewijk-boisotstraat
Apartment Hoofdweg,1058 BC Amsterdam (Westindische Buurt),"3,000 ",155 ,6 ,Upholstered,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/1c7e95c0/hoofdweg
Apartment Johannes Verhulststraat 187 H,1075 GZ Amsterdam (Willemspark),"7,000 ",232 ,7 ,Undefined,De Graaf & Groot Makelaars,+31206627140,https://www.pararius.com/apartment-for-rent/amsterdam/f6e802a8/johannes-verhulststraat
Apartment Van Breestraat 73 I,1071 ZH Amsterdam (Museumkwartier),"2,450 ",68 ,3 ,Undefined,De Graaf & Groot Makelaars,+31206627140,https://www.pararius.com/apartment-for-rent/amsterdam/36527315/van-breestraat
House Amstel 49,1011 PW Amsterdam (Nieuwmarkt/Lastage),"4,950 ",125 ,4 ,Upholstered or furnished,Grand Relocation,+31206200813,https://www.pararius.com/house-for-rent/amsterdam/21c6c990/amstel
House Sassenheimstraat 40 2,1059 BJ Amsterdam (Hoofddorppleinbuurt),"1,800 ",56 ,2 ,Furnished,The Rental Agency Amsterdam,+31207799534,https://www.pararius.com/house-for-rent/amsterdam/342389a4/sassenheimstraat
Apartment Valkenburgerstraat 136 F,1011 NA Amsterdam (Nieuwmarkt/Lastage),"2,750 ",95 ,3 ,Furnished,IdealEstate Housing Consultancy,+31206120760,https://www.pararius.com/apartment-for-rent/amsterdam/2fc22da2/valkenburgerstraat
Apartment Haarlemmerdijk 100 D,1013 JG Amsterdam (Haarlemmerbuurt),"2,500 ",100 ,3 ,Furnished,Peter Bruin Makelaardij,+31206768022,https://www.pararius.com/apartment-for-rent/amsterdam/ff1460dc/haarlemmerdijk
Apartment Derde Helmersstraat 41 A,1054 BB Amsterdam (Helmersbuurt),"2,450 ",65 ,3 ,Furnished,Peter Bruin Makelaardij,+31206768022,https://www.pararius.com/apartment-for-rent/amsterdam/29c629b1/derde-helmersstraat
Apartment Kuipersstraat,1073 EV Amsterdam (Nieuwe Pijp),"1,600 ",45 ,3 ,Undefined,Rebid,/real-estate-agents/amsterdam/rebid,https://www.pararius.com/apartment-for-rent/amsterdam/283e6a32/kuipersstraat
Apartment Nicolaas Maesstraat 77 II-III,1071 PS Amsterdam (Museumkwartier),"5,750 ",185 ,6 ,Furnished,Voogd Makelaardij,+31205733357,https://www.pararius.com/apartment-for-rent/amsterdam/469bc321/nicolaas-maesstraat
Apartment Singel,1015 AC Amsterdam (Grachtengordel-West),"2,500 ",82 ,3 ,Upholstered,Von Poll Real Estate - Centrum,+31202159988,https://www.pararius.com/apartment-for-rent/amsterdam/f8211e99/singel
Apartment Badhuiskade 75,1031 KV Amsterdam (Noordelijke IJ-oevers West),"2,450 ",87 ,2 ,Upholstered,Broersma Makelaardij,+31203059777,https://www.pararius.com/apartment-for-rent/amsterdam/73717bbf/badhuiskade
House Nederhoven,1083 AM Amsterdam (Buitenveldert-Oost),"8,500 ",336 ,11 ,Undefined,Ramón Mossel Makelaardij,+31203052662,https://www.pararius.com/house-for-rent/amsterdam/b16ff618/nederhoven
Apartment Jan van Zutphenstraat,1069 RS Amsterdam (Osdorp-Midden),"2,500 ",118 ,1 room,Undefined,123Wonen Amsterdam,+31202246050,https://www.pararius.com/apartment-for-rent/amsterdam/4044f93e/jan-van-zutphenstraat
Apartment Egelantiersstraat,1015 PP Amsterdam (Jordaan),"2,200 ",80 ,3 ,Upholstered,Amsterdam Rental Homes,+31610909550,https://www.pararius.com/apartment-for-rent/amsterdam/8c40267a/egelantiersstraat
Apartment Vechtstraat,1079 JV Amsterdam (Rijnbuurt),"1,800 ",62 ,3 ,Upholstered,Amsterdam Rental Homes,+31610909550,https://www.pararius.com/apartment-for-rent/amsterdam/6c25dd04/vechtstraat
Apartment Spuistraat 105 B,1012 SV Amsterdam (Burgwallen-Nieuwe Zijde),"2,300 ",66 ,2 ,Upholstered or furnished,Bloomstone Real Estate,+31202444649,https://www.pararius.com/apartment-for-rent/amsterdam/47d6ce85/spuistraat
Apartment Herengracht,1016 BE Amsterdam (Grachtengordel-West),"3,750 ",104 ,1 room,Furnished,Compass Housing Amsterdam,+31202440826,https://www.pararius.com/apartment-for-rent/amsterdam/ee7f8605/herengracht
Apartment Noorderstraat,1017 TR Amsterdam (De Weteringschans),"2,500 ",100 ,3 ,Furnished,Relocation Advisers B.V.,+31206647470,https://www.pararius.com/apartment-for-rent/amsterdam/8bc4a862/noorderstraat
Apartment Reguliersgracht 78 B,1017 LV Amsterdam (Grachtengordel-Zuid),"5,500 ",141 ,4 ,Furnished,The Rental Agency Amsterdam,+31207799534,https://www.pararius.com/apartment-for-rent/amsterdam/5278eb58/reguliersgracht
Apartment Rustenburgerstraat 146 A11,1073 GJ Amsterdam (Nieuwe Pijp),"2,075 ",55 ,2 ,Furnished,Parker & Williams Real Estate Services,+31206750202,https://www.pararius.com/apartment-for-rent/amsterdam/898d8d14/rustenburgerstraat
Apartment Banne Buikslootlaan,1034 AB Amsterdam (Banne Buiksloot),"1,750 ",72 ,3 ,Undefined,Rebid,/real-estate-agents/amsterdam/rebid,https://www.pararius.com/apartment-for-rent/amsterdam/2e2ede66/banne-buikslootlaan
Apartment Eerste Helmersstraat 41 3,1054 DA Amsterdam (Helmersbuurt),"2,750 ",100 ,3 ,Upholstered,Parker & Williams Real Estate Services,+31206750202,https://www.pararius.com/apartment-for-rent/amsterdam/740a7939/eerste-helmersstraat
Apartment Linnaeusparkweg 34 3,1098 EC Amsterdam (Middenmeer),"1,950 ",66 ,3 ,Upholstered,Yourhome Makelaars,+31203706020,https://www.pararius.com/apartment-for-rent/amsterdam/20205be3/linnaeusparkweg
Apartment Bredeweg 43 II,1098 BN Amsterdam (Middenmeer),"3,450 ",134 ,5 ,Upholstered,Valerius Rentals,+31208912820,https://www.pararius.com/apartment-for-rent/amsterdam/553b6835/bredeweg
Apartment Admiraal De Ruijterweg,1055 MP Amsterdam (Landlust),"3,750 ",139 ,5 ,Undefined,The Perfect House,+31202441918,https://www.pararius.com/apartment-for-rent/amsterdam/5490e21d/admiraal-de-ruijterweg
Apartment Laagte Kadijk,1018 BB Amsterdam (Oostelijke Eilanden/Kadijken),"2,250 ",75 ,3 ,Furnished,Boon Properties,+31652345151,https://www.pararius.com/apartment-for-rent/amsterdam/796db68c/laagte-kadijk
Apartment Pieter Oosterhuisstraat,1087 HT Amsterdam (IJburg Zuid),"2,350 ",112 ,3 ,Upholstered,Expats. Amsterdam Rentals,/real-estate-agents/amsterdam/expats-amsterdam-rentals-2,https://www.pararius.com/apartment-for-rent/amsterdam/285812f9/pieter-oosterhuisstraat
Apartment IJburglaan,1087 EN Amsterdam (IJburg West),"2,500 ",96 ,3 ,Furnished,Expats. Amsterdam Rentals,/real-estate-agents/amsterdam/expats-amsterdam-rentals-2,https://www.pararius.com/apartment-for-rent/amsterdam/dd1e896b/ijburglaan
Apartment Eerste Atjehstraat,1094 KD Amsterdam (Indische Buurt West),"2,275 ",65 ,3 ,Furnished,Expathousing.com (Amsterdam),+31206622366,https://www.pararius.com/apartment-for-rent/amsterdam/93e47e52/eerste-atjehstraat
Apartment Reestraat,1016 DM Amsterdam (Grachtengordel-West),"1,950 ",70 ,2 ,Furnished,Koops Makelaardij Amsterdam,+31208208947,https://www.pararius.com/apartment-for-rent/amsterdam/3ec405ce/reestraat
Apartment Hoofdweg,1058 BC Amsterdam (Westindische Buurt),"3,000 ",155 ,6 ,Upholstered,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/1c7e95c0/hoofdweg
Apartment Pijlsteeg 6,1012 HH Amsterdam (Burgwallen-Oude Zijde),"2,250 ",60 ,2 ,Furnished,De Run Trading B.V.,+31403033900,https://www.pararius.com/apartment-for-rent/amsterdam/4c55b3d1/pijlsteeg
Apartment Céramiquelaan 211,1031 KG Amsterdam (Noordelijke IJ-oevers West),"15,000 ",250 ,4 ,Furnished,"Cosmo Housing,                                                                                 VSTGD Makelaars",+31646614594,https://www.pararius.com/apartment-for-rent/amsterdam/f0707eac/ceramiquelaan
Apartment Oudezijds Achterburgwal,1012 DA Amsterdam (Burgwallen-Oude Zijde),"1,850 ",45 ,2 ,Furnished,Interhouse verhuurmakelaars Amsterdam,+31208450527,https://www.pararius.com/apartment-for-rent/amsterdam/1b5a5ea7/oudezijds-achterburgwal
Apartment Frans Halsstraat 89 3,1072 BP Amsterdam (Oude Pijp),"2,250 ",70 ,3 ,Furnished,Urban Homies,+31202617463,https://www.pararius.com/apartment-for-rent/amsterdam/500cc502/frans-halsstraat
Apartment Groenburgwal,1011 HT Amsterdam (Nieuwmarkt/Lastage),"1,800 ",52 ,2 ,Upholstered,Hillen Makelaardij,+31356218848,https://www.pararius.com/apartment-for-rent/amsterdam/9dec8aa0/groenburgwal
Apartment Rhijnvis Feithstraat 24 E,1054 TX Amsterdam (Overtoomse Sluis),"2,500 ",52 ,2 ,Upholstered or furnished,Huizenbalie.nl,+31851309111,https://www.pararius.com/apartment-for-rent/amsterdam/477f21e9/rhijnvis-feithstraat
Apartment Amstel,1017 AC Amsterdam (Grachtengordel-Zuid),"3,250 ",144 ,4 ,Furnished,Hausing,+31202117445,https://www.pararius.com/apartment-for-rent/amsterdam/829d454e/amstel
Apartment Noorderstraat,1017 TW Amsterdam (De Weteringschans),"1,850 ",65 ,3 ,Furnished,Expat Rentals Amsterdam,+31202440876,https://www.pararius.com/apartment-for-rent/amsterdam/1e27c79a/noorderstraat
Apartment Stadionkade,1076 BJ Amsterdam (Stadionbuurt),"2,975 ",100 ,3 ,Upholstered,City Homes,+31206250071,https://www.pararius.com/apartment-for-rent/amsterdam/4eea1b61/stadionkade
Apartment Westerstraat,1015 LW Amsterdam (Jordaan),"1,900 ",49 ,3 ,Furnished,123Wonen Amsterdam,+31202246050,https://www.pararius.com/apartment-for-rent/amsterdam/4bad806f/westerstraat
Apartment Legmeerstraat 24 1,1058 NE Amsterdam (Hoofddorppleinbuurt),"1,650 ",54 ,2 ,Furnished,Koops Makelaardij Amsterdam,+31208208772,https://www.pararius.com/apartment-for-rent/amsterdam/3b511d7b/legmeerstraat
Apartment Chet Bakerstraat 117,1066 GJ Amsterdam (Sloter-/Riekerpolder),"1,995 ",95 ,3 ,Furnished,Koops Makelaardij Amsterdam,+31208208772,https://www.pararius.com/apartment-for-rent/amsterdam/dfba516a/chet-bakerstraat
Apartment Eerste Van Swindenstraat 76 H,1093 GH Amsterdam (Dapperbuurt),"2,300 ",59 ,3 ,Undefined,Vastgoed Unie Makelaardij,+31203081600,https://www.pararius.com/apartment-for-rent/amsterdam/d9212c27/eerste-van-swindenstraat
House Jan Hanzenstraat 127,1053 SP Amsterdam (Kinkerbuurt),"2,550 ",60 ,2 ,Furnished,Amsterdam Beautiful Property Rental,/real-estate-agents/amsterdam/amsterdam-beautiful-property-rental,https://www.pararius.com/house-for-rent/amsterdam/a8f17002/jan-hanzenstraat
